customer_city,customer_state,total_orders,delivered_orders,cancelled_orders,total_spent,average_order_value,maximum_order_value,minimum_order_value,average_payment_installments,preferred_payment_type,total_items_purchased,unique_products,unique_categories,favorite_category,average_items_per_order,average_review_score,average_delivery_days,average_delivery_delay,on_time_delivery_rate,delayed_delivery_rate,customer_tenure_days,purchase_frequency,average_purchase_gap,spending_intensity,repeat_customer,cancel_rate,one_time_buyer,high_spender,delivery_delay_category,churn_flag,predicted_churn,churn_probability,risk_segment
patos de minas,MG,1,1,0,82.9,82.9,82.9,82.9,1.0,boleto,1.0,1.0,1.0,automotivo,1.0,3.0,5.0,-17.0,1.0,0.0,0,1.0,0.0,82.9,0,0.0,1,0,Slightly Early,0,1,0.5367259,Medium Risk
frutal,MG,1,1,0,181.46,181.46,181.46,181.46,1.0,boleto,2.0,1.0,1.0,esporte_lazer,2.0,5.0,13.0,-15.0,1.0,0.0,0,1.0,0.0,181.46,0,0.0,1,1,Slightly Early,1,1,0.89454126,High Risk
sao paulo,SP,1,1,0,321.58,321.58,321.58,321.58,1.0,debit_card,1.0,1.0,1.0,brinquedos,1.0,5.0,15.0,-2.0,1.0,0.0,0,1.0,0.0,321.58,0,0.0,1,1,On Time,1,1,0.76158017,High Risk
sao paulo,SP,1,1,0,69.73,69.73,69.73,69.73,2.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,4.0,21.0,-4.0,1.0,0.0,0,1.0,0.0,69.73,0,0.0,1,0,On Time,1,1,0.8696982,High Risk
passo fundo,RS,1,1,0,348.46,348.46,348.46,348.46,5.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,4.0,28.0,-9.0,1.0,0.0,0,1.0,0.0,348.46,0,0.0,1,1,On Time,1,1,0.8954227,High Risk
sao luis,MA,2,1,0,88.71000000000001,44.355,60.57,28.14,1.0,credit_card,2.0,2.0,2.0,Unknown,1.0,2.5,21.0,-15.0,0.5,0.5,153,0.01,76.5,44.36,1,0.0,0,0,Slightly Early,1,1,0.64001185,Medium Risk
sao paulo,SP,1,1,0,201.13,201.13,201.13,201.13,2.0,credit_card,1.0,1.0,1.0,automotivo,1.0,1.0,6.0,-14.0,1.0,0.0,0,1.0,0.0,201.13,0,0.0,1,1,Slightly Early,1,1,0.6911001,Medium Risk
sao domingos do norte,ES,1,1,0,63.82,63.82,63.82,63.82,1.0,credit_card,1.0,1.0,1.0,malas_acessorios,1.0,5.0,8.0,-14.0,1.0,0.0,0,1.0,0.0,63.82,0,0.0,1,0,Slightly Early,1,1,0.81917584,High Risk
guarulhos,SP,1,1,0,42.41,42.41,42.41,42.41,1.0,credit_card,1.0,1.0,1.0,fashion_bolsas_e_acessorios,1.0,4.0,10.0,-8.0,1.0,0.0,0,1.0,0.0,42.41,0,0.0,1,0,On Time,1,1,0.86701906,High Risk
marilia,SP,1,1,0,41.1,41.1,41.1,41.1,1.0,credit_card,1.0,1.0,1.0,automotivo,1.0,5.0,13.0,-15.0,1.0,0.0,0,1.0,0.0,41.1,0,0.0,1,0,Slightly Early,1,1,0.8663137,High Risk
abaira,BA,1,1,0,35.05,35.05,35.05,35.05,3.0,credit_card,1.0,1.0,1.0,telefonia,1.0,5.0,14.0,-23.0,1.0,0.0,0,1.0,0.0,35.05,0,0.0,1,0,Early Delivery,0,1,0.86100364,High Risk
paulo afonso,BA,1,1,0,157.28,157.28,157.28,157.28,3.0,credit_card,1.0,1.0,1.0,perfumaria,1.0,5.0,16.0,-16.0,1.0,0.0,0,1.0,0.0,157.28,0,0.0,1,1,Slightly Early,1,1,0.8227409,High Risk
mogi das cruzes,SP,1,1,0,174.16,174.16,174.16,174.16,1.0,debit_card,2.0,1.0,1.0,cama_mesa_banho,2.0,4.0,6.0,-9.0,1.0,0.0,0,1.0,0.0,174.16,0,0.0,1,1,On Time,1,0,0.47080576,Medium Risk
belo horizonte,MG,1,1,0,71.56,71.56,71.56,71.56,3.0,credit_card,1.0,1.0,1.0,perfumaria,1.0,5.0,7.0,-21.0,1.0,0.0,0,1.0,0.0,71.56,0,0.0,1,0,Early Delivery,1,1,0.7909091,High Risk
sao paulo,SP,1,1,0,114.44,114.44,114.44,114.44,1.0,boleto,1.0,1.0,1.0,telefonia,1.0,4.0,5.0,-14.0,1.0,0.0,0,1.0,0.0,114.44,0,0.0,1,1,Slightly Early,1,1,0.73127264,High Risk
santa maria da vitoria,BA,1,1,0,124.21,124.21,124.21,124.21,1.0,boleto,1.0,1.0,1.0,cama_mesa_banho,1.0,3.0,17.0,-12.0,1.0,0.0,0,1.0,0.0,124.21,0,0.0,1,1,Slightly Early,1,1,0.81646395,High Risk
recife,PE,1,1,0,119.39,119.39,119.39,119.39,1.0,credit_card,1.0,1.0,1.0,eletronicos,1.0,1.0,15.0,-18.0,1.0,0.0,0,1.0,0.0,119.39,0,0.0,1,1,Slightly Early,0,1,0.81390554,High Risk
rio de janeiro,RJ,1,1,0,179.3,179.3,179.3,179.3,2.0,credit_card,1.0,1.0,1.0,automotivo,1.0,1.0,28.0,8.0,0.0,1.0,0,1.0,0.0,179.3,0,0.0,1,1,Delayed,1,1,0.9127788,High Risk
sao paulo,SP,1,1,0,60.36,60.36,60.36,60.36,1.0,credit_card,1.0,1.0,1.0,sinalizacao_e_seguranca,1.0,5.0,4.0,0.0,1.0,0.0,0,1.0,0.0,60.36,0,0.0,1,0,On Time,0,0,0.035353754,Low Risk
rio de janeiro,RJ,1,1,0,62.5,62.5,62.5,62.5,3.0,credit_card,1.0,1.0,1.0,utilidades_domesticas,1.0,2.0,10.0,-19.0,1.0,0.0,0,1.0,0.0,62.5,0,0.0,1,0,Slightly Early,1,1,0.8607121,High Risk
carapicuiba,SP,1,1,0,82.5,82.5,82.5,82.5,3.0,credit_card,1.0,1.0,1.0,papelaria,1.0,4.0,11.0,-9.0,1.0,0.0,0,1.0,0.0,82.5,0,0.0,1,0,On Time,1,1,0.8491211,High Risk
ponto dos volantes,MG,1,1,0,36.29,36.29,36.29,36.29,1.0,credit_card,1.0,1.0,1.0,eletronicos,1.0,5.0,18.0,-9.0,1.0,0.0,0,1.0,0.0,36.29,0,0.0,1,0,On Time,1,1,0.88864887,High Risk
sao paulo,SP,1,1,0,71.77,71.77,71.77,71.77,3.0,credit_card,1.0,1.0,1.0,automotivo,1.0,4.0,7.0,-6.0,1.0,0.0,0,1.0,0.0,71.77,0,0.0,1,0,On Time,1,1,0.5361038,Medium Risk
sao paulo,SP,1,1,0,37.58,18.79,35.0,2.58,1.0,credit_card,1.0,1.0,1.0,informatica_acessorios,1.0,5.0,13.0,-5.0,1.0,0.0,0,1.0,0.0,37.58,0,0.0,1,0,On Time,0,1,0.86485726,High Risk
belo horizonte,MG,2,2,0,206.44,103.22,106.21,100.23,1.0,boleto,2.0,2.0,1.0,informatica_acessorios,1.0,2.333333333333333,27.666666666666668,-3.333333333333333,0.3333333333333333,0.6666666666666667,0,2.0,0.0,103.22,1,0.0,0,1,On Time,1,1,0.9558173,High Risk
rio de janeiro,RJ,1,0,0,62.7,62.7,62.7,62.7,6.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,62.7,0,0.0,1,0,On Time,1,1,0.82010806,High Risk
governador valadares,MG,1,1,0,62.66,62.66,62.66,62.66,1.0,credit_card,1.0,1.0,1.0,esporte_lazer,1.0,5.0,7.0,-14.0,1.0,0.0,0,1.0,0.0,62.66,0,0.0,1,0,Slightly Early,0,1,0.7137909,High Risk
sao paulo,SP,1,1,0,124.16,124.16,124.16,124.16,5.0,credit_card,1.0,1.0,1.0,Unknown,1.0,5.0,8.0,-4.0,1.0,0.0,0,1.0,0.0,124.16,0,0.0,1,1,On Time,1,1,0.7734449,High Risk
irati,PR,1,1,0,77.57,77.57,77.57,77.57,1.0,boleto,1.0,1.0,1.0,ferramentas_jardim,1.0,4.0,14.0,-19.0,1.0,0.0,0,1.0,0.0,77.57,0,0.0,1,0,Slightly Early,1,1,0.9171816,High Risk
goiania,GO,1,1,0,60.0,60.0,60.0,60.0,1.0,boleto,1.0,1.0,1.0,esporte_lazer,1.0,5.0,12.0,-9.0,1.0,0.0,0,1.0,0.0,60.0,0,0.0,1,0,On Time,1,1,0.7805546,High Risk
sao paulo,SP,1,1,0,115.7,115.7,115.7,115.7,1.0,boleto,1.0,1.0,1.0,beleza_saude,1.0,5.0,4.0,-20.0,1.0,0.0,0,1.0,0.0,115.7,0,0.0,1,1,Early Delivery,0,1,0.58021396,Medium Risk
cubatao,SP,1,1,0,57.59,57.59,57.59,57.59,1.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,3.0,15.0,-2.0,1.0,0.0,0,1.0,0.0,57.59,0,0.0,1,0,On Time,1,1,0.82268405,High Risk
sao manuel,SP,2,2,0,160.19,80.095,131.44,28.75,1.0,credit_card,2.0,2.0,2.0,esporte_lazer,1.0,5.0,14.0,-8.5,1.0,0.0,203,0.01,101.5,80.1,1,0.0,0,1,On Time,1,1,0.55507255,Medium Risk
belo horizonte,MG,1,1,0,84.24,84.24,84.24,84.24,1.0,boleto,1.0,1.0,1.0,eletroportateis,1.0,3.0,14.0,-7.0,1.0,0.0,0,1.0,0.0,84.24,0,0.0,1,0,On Time,1,1,0.882311,High Risk
marau,RS,1,1,0,63.73,63.73,63.73,63.73,1.0,boleto,1.0,1.0,1.0,utilidades_domesticas,1.0,5.0,8.0,-40.0,1.0,0.0,0,1.0,0.0,63.73,0,0.0,1,0,Early Delivery,0,0,0.4926345,Medium Risk
hortolandia,SP,1,1,0,119.25,119.25,119.25,119.25,1.0,boleto,1.0,1.0,1.0,esporte_lazer,1.0,5.0,21.0,-4.0,1.0,0.0,0,1.0,0.0,119.25,0,0.0,1,1,On Time,1,1,0.87685245,High Risk
sao paulo,SP,1,1,0,267.5,267.5,267.5,267.5,1.0,boleto,2.0,1.0,1.0,beleza_saude,2.0,4.0,7.0,-12.0,1.0,0.0,0,1.0,0.0,267.5,0,0.0,1,1,Slightly Early,1,1,0.64935863,Medium Risk
marialva,PR,1,1,0,65.91,65.91,65.91,65.91,1.0,credit_card,1.0,1.0,1.0,moveis_decoracao,1.0,3.0,25.0,-1.0,1.0,0.0,0,1.0,0.0,65.91,0,0.0,1,0,On Time,1,1,0.90208215,High Risk
nova venecia,ES,2,2,0,126.72,63.36,72.62,54.1,1.5,credit_card,2.0,2.0,2.0,beleza_saude,1.0,5.0,12.5,-9.5,1.0,0.0,128,0.02,64.0,63.36,1,0.0,0,1,On Time,1,1,0.60890204,Medium Risk
salvador,BA,1,1,0,1129.85,1129.85,1129.85,1129.85,6.0,credit_card,5.0,1.0,1.0,moveis_escritorio,5.0,5.0,19.0,-16.0,1.0,0.0,0,1.0,0.0,1129.85,0,0.0,1,1,Slightly Early,0,1,0.8340163,High Risk
nossa senhora das dores,SE,1,1,0,598.23,598.23,598.23,598.23,6.0,credit_card,1.0,1.0,1.0,relogios_presentes,1.0,4.0,28.0,-6.0,1.0,0.0,0,1.0,0.0,598.23,0,0.0,1,1,On Time,1,1,0.8723354,High Risk
sao paulo,SP,1,1,0,157.21,157.21,157.21,157.21,1.0,voucher,1.0,1.0,1.0,cool_stuff,1.0,5.0,4.0,-7.0,1.0,0.0,0,1.0,0.0,157.21,0,0.0,1,1,On Time,1,1,0.7847495,High Risk
niteroi,RJ,1,1,0,28.88,28.88,28.88,28.88,1.0,credit_card,1.0,1.0,1.0,eletronicos,1.0,5.0,10.0,-14.0,1.0,0.0,0,1.0,0.0,28.88,0,0.0,1,0,Slightly Early,0,1,0.8075322,High Risk
belo horizonte,MG,1,1,0,204.15,204.15,204.15,204.15,1.0,boleto,1.0,1.0,1.0,moveis_sala,1.0,5.0,7.0,-14.0,1.0,0.0,0,1.0,0.0,204.15,0,0.0,1,1,Slightly Early,0,1,0.6534347,Medium Risk
claudio,MG,1,1,0,206.87,206.87,206.87,206.87,2.0,credit_card,1.0,1.0,1.0,ferramentas_jardim,1.0,1.0,11.0,-9.0,1.0,0.0,0,1.0,0.0,206.87,0,0.0,1,1,On Time,1,1,0.8098701,High Risk
camaqua,RS,1,1,0,192.3,192.3,192.3,192.3,4.0,credit_card,3.0,1.0,1.0,moveis_decoracao,3.0,5.0,11.0,-12.0,1.0,0.0,0,1.0,0.0,192.3,0,0.0,1,1,Slightly Early,1,1,0.7658026,High Risk
nova iguacu,RJ,1,1,0,122.07,122.07,122.07,122.07,4.0,credit_card,1.0,1.0,1.0,beleza_saude,1.0,4.0,15.0,-7.0,1.0,0.0,0,1.0,0.0,122.07,0,0.0,1,1,On Time,1,1,0.7589779,High Risk
brasilia,DF,1,1,0,570.3,570.3,570.3,570.3,1.0,boleto,1.0,1.0,1.0,beleza_saude,1.0,4.0,16.0,-12.0,1.0,0.0,0,1.0,0.0,570.3,0,0.0,1,1,Slightly Early,1,1,0.73607945,High Risk
sao bernardo do campo,SP,1,1,0,53.7,53.7,53.7,53.7,1.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,4.0,8.0,-16.0,1.0,0.0,0,1.0,0.0,53.7,0,0.0,1,0,Slightly Early,0,1,0.84235245,High Risk
americana,SP,1,1,0,22.36,22.36,22.36,22.36,2.0,credit_card,1.0,1.0,1.0,beleza_saude,1.0,5.0,3.0,-21.0,1.0,0.0,0,1.0,0.0,22.36,0,0.0,1,0,Early Delivery,0,1,0.6063324,Medium Risk
potiragua,BA,1,1,0,79.0,79.0,79.0,79.0,1.0,boleto,1.0,1.0,1.0,cama_mesa_banho,1.0,5.0,18.0,-16.0,1.0,0.0,0,1.0,0.0,79.0,0,0.0,1,0,Slightly Early,1,1,0.8557577,High Risk
alfenas,MG,1,1,0,148.15,148.15,148.15,148.15,1.0,credit_card,1.0,1.0,1.0,Unknown,1.0,5.0,13.0,-22.0,1.0,0.0,0,1.0,0.0,148.15,0,0.0,1,1,Early Delivery,1,1,0.9124708,High Risk
sao luis,MA,1,1,0,118.01,118.01,118.01,118.01,4.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,4.0,13.0,-22.0,1.0,0.0,0,1.0,0.0,118.01,0,0.0,1,1,Early Delivery,1,1,0.73576653,High Risk
cotia,SP,1,1,0,114.43,114.43,114.43,114.43,1.0,boleto,1.0,1.0,1.0,esporte_lazer,1.0,4.0,4.0,-7.0,1.0,0.0,0,1.0,0.0,114.43,0,0.0,1,1,On Time,1,1,0.57881755,Medium Risk
porto velho,RO,1,1,0,730.05,730.05,730.05,730.05,1.0,boleto,1.0,1.0,1.0,brinquedos,1.0,5.0,13.0,-27.0,1.0,0.0,0,1.0,0.0,730.05,0,0.0,1,1,Early Delivery,1,1,0.72078747,High Risk
varzea paulista,SP,1,1,0,55.0,55.0,55.0,55.0,1.0,boleto,1.0,1.0,1.0,informatica_acessorios,1.0,4.0,30.0,-3.0,1.0,0.0,0,1.0,0.0,55.0,0,0.0,1,0,On Time,1,1,0.92421025,High Risk
balneario camboriu,SC,2,2,0,97.36,48.68,51.69,45.67,2.0,credit_card,2.0,2.0,2.0,fashion_bolsas_e_acessorios,1.0,5.0,6.0,-10.5,1.0,0.0,195,0.01,97.5,48.68,1,0.0,0,0,Slightly Early,0,0,0.36252367,Low Risk
goiania,GO,1,1,0,155.22,155.22,155.22,155.22,6.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,5.0,8.0,-18.0,1.0,0.0,0,1.0,0.0,155.22,0,0.0,1,1,Slightly Early,1,1,0.65049624,Medium Risk
sao lourenco do sul,RS,1,1,0,107.78,107.78,107.78,107.78,6.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,3.0,35.0,-6.0,1.0,0.0,0,1.0,0.0,107.78,0,0.0,1,0,On Time,1,1,0.91521907,High Risk
piedade,SP,1,1,0,152.48,152.48,152.48,152.48,1.0,credit_card,1.0,1.0,1.0,informatica_acessorios,1.0,4.0,14.0,-11.0,1.0,0.0,0,1.0,0.0,152.48,0,0.0,1,1,Slightly Early,1,1,0.8517226,High Risk
porto alegre,RS,1,1,0,80.65,80.65,80.65,80.65,8.0,credit_card,1.0,1.0,1.0,bebes,1.0,5.0,6.0,-18.0,1.0,0.0,0,1.0,0.0,80.65,0,0.0,1,0,Slightly Early,1,1,0.64333445,Medium Risk
piata,BA,1,1,0,69.56,69.56,69.56,69.56,1.0,boleto,2.0,1.0,1.0,telefonia,2.0,4.0,21.0,-11.0,1.0,0.0,0,1.0,0.0,69.56,0,0.0,1,0,Slightly Early,1,1,0.86985296,High Risk
rio de janeiro,RJ,1,1,0,26.09,26.09,26.09,26.09,1.0,boleto,1.0,1.0,1.0,moveis_decoracao,1.0,4.0,14.0,-10.0,1.0,0.0,0,1.0,0.0,26.09,0,0.0,1,0,Slightly Early,1,1,0.9373135,High Risk
santa adelia,SP,1,1,0,41.83,41.83,41.83,41.83,1.0,credit_card,1.0,1.0,1.0,telefonia,1.0,3.0,20.0,-2.0,1.0,0.0,0,1.0,0.0,41.83,0,0.0,1,0,On Time,1,1,0.90563315,High Risk
ilhabela,SP,1,1,0,81.82,81.82,81.82,81.82,2.0,credit_card,1.0,1.0,1.0,esporte_lazer,1.0,2.0,21.0,1.0,0.0,1.0,0,1.0,0.0,81.82,0,0.0,1,0,Delayed,0,1,0.89632607,High Risk
curitiba,PR,1,1,0,199.21,199.21,199.21,199.21,4.0,credit_card,1.0,1.0,1.0,moveis_decoracao,1.0,4.0,11.0,-8.0,1.0,0.0,0,1.0,0.0,199.21,0,0.0,1,1,On Time,0,1,0.6795381,Medium Risk
itai,SP,1,1,0,97.88,97.88,97.88,97.88,1.0,credit_card,2.0,1.0,1.0,papelaria,2.0,5.0,8.0,-11.0,1.0,0.0,0,1.0,0.0,97.88,0,0.0,1,0,Slightly Early,0,1,0.79117656,High Risk
sao jose dos campos,SP,1,1,0,186.85,186.85,186.85,186.85,4.0,credit_card,1.0,1.0,1.0,perfumaria,1.0,5.0,9.0,-12.0,1.0,0.0,0,1.0,0.0,186.85,0,0.0,1,1,Slightly Early,1,1,0.8219236,High Risk
conceicao da aparecida,MG,1,1,0,185.07,92.535,135.07,50.0,4.5,credit_card,1.0,1.0,1.0,esporte_lazer,1.0,3.0,14.0,-18.0,1.0,0.0,0,1.0,0.0,185.07,0,0.0,1,1,Slightly Early,1,1,0.9135175,High Risk
vila velha,ES,1,1,0,280.08,280.08,280.08,280.08,1.0,boleto,1.0,1.0,1.0,moveis_escritorio,1.0,5.0,17.0,-17.0,1.0,0.0,0,1.0,0.0,280.08,0,0.0,1,1,Slightly Early,1,1,0.8409703,High Risk
natal,RN,1,1,0,187.5,187.5,187.5,187.5,4.0,credit_card,2.0,1.0,1.0,ferramentas_jardim,2.0,5.0,34.0,-1.0,1.0,0.0,0,1.0,0.0,187.5,0,0.0,1,1,On Time,0,1,0.929971,High Risk
brasilia,DF,1,1,0,100.0,100.0,100.0,100.0,1.0,credit_card,2.0,1.0,1.0,esporte_lazer,2.0,5.0,15.0,-8.0,1.0,0.0,0,1.0,0.0,100.0,0,0.0,1,0,On Time,1,1,0.869137,High Risk
sao paulo,SP,1,1,0,119.41,119.41,119.41,119.41,5.0,credit_card,1.0,1.0,1.0,relogios_presentes,1.0,5.0,3.0,-6.0,1.0,0.0,0,1.0,0.0,119.41,0,0.0,1,1,On Time,0,0,0.2345081,Low Risk
brasilia,DF,1,1,0,86.3,43.15,82.46,3.84,1.0,credit_card,1.0,1.0,1.0,brinquedos,1.0,4.0,3.0,-17.0,1.0,0.0,0,1.0,0.0,86.3,0,0.0,1,0,Slightly Early,0,1,0.6951149,Medium Risk
uberlandia,MG,1,1,0,24.93,24.93,24.93,24.93,2.0,credit_card,1.0,1.0,1.0,esporte_lazer,1.0,4.0,13.0,-7.0,1.0,0.0,0,1.0,0.0,24.93,0,0.0,1,0,On Time,1,1,0.9320801,High Risk
belem,PA,1,1,0,82.67,82.67,82.67,82.67,8.0,credit_card,1.0,1.0,1.0,relogios_presentes,1.0,5.0,16.0,-15.0,1.0,0.0,0,1.0,0.0,82.67,0,0.0,1,0,Slightly Early,1,1,0.63449544,Medium Risk
ribeirao pires,SP,1,1,0,23.17,11.585,13.41,9.76,1.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,5.0,5.0,-10.0,1.0,0.0,0,1.0,0.0,23.17,0,0.0,1,0,Slightly Early,1,1,0.6914338,Medium Risk
sorocaba,SP,1,1,0,313.43,313.43,313.43,313.43,6.0,credit_card,1.0,1.0,1.0,moveis_decoracao,1.0,4.0,12.0,-21.0,1.0,0.0,0,1.0,0.0,313.43,0,0.0,1,1,Early Delivery,1,1,0.7148822,High Risk
pomerode,SC,1,1,0,116.45,116.45,116.45,116.45,5.0,credit_card,1.0,1.0,1.0,cool_stuff,1.0,5.0,8.0,-16.0,1.0,0.0,0,1.0,0.0,116.45,0,0.0,1,1,Slightly Early,1,1,0.881229,High Risk
nova iguacu,RJ,1,1,0,463.44,463.44,463.44,463.44,10.0,credit_card,1.0,1.0,1.0,ferramentas_jardim,1.0,5.0,10.0,-17.0,1.0,0.0,0,1.0,0.0,463.44,0,0.0,1,1,Slightly Early,1,1,0.8333025,High Risk
suzano,SP,1,1,0,66.41,66.41,66.41,66.41,1.0,credit_card,1.0,1.0,1.0,beleza_saude,1.0,5.0,1.0,-2.0,1.0,0.0,0,1.0,0.0,66.41,0,0.0,1,0,On Time,0,0,0.025356064,Low Risk
sao paulo,SP,1,1,0,54.0,54.0,54.0,54.0,3.0,credit_card,1.0,1.0,1.0,Unknown,1.0,5.0,3.0,-14.0,1.0,0.0,0,1.0,0.0,54.0,0,0.0,1,0,Slightly Early,1,1,0.8808889,High Risk
toledo,PR,1,1,0,164.68,164.68,164.68,164.68,1.0,boleto,1.0,1.0,1.0,cool_stuff,1.0,5.0,7.0,-12.0,1.0,0.0,0,1.0,0.0,164.68,0,0.0,1,1,Slightly Early,1,1,0.75433093,High Risk
catanduva,SP,1,1,0,51.69,51.69,51.69,51.69,2.0,credit_card,1.0,1.0,1.0,perfumaria,1.0,5.0,11.0,-8.0,1.0,0.0,0,1.0,0.0,51.69,0,0.0,1,0,On Time,1,1,0.828737,High Risk
