customer_city,customer_state,risk_segment,churn_probability,total_spent,average_review_score,average_delivery_delay,recommendation,reason,priority,owner,timeline,estimated_cost,expected_outcome
rio de janeiro,RJ,High Risk,0.8607121,62.5,2.0,-19.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
carapicuiba,SP,High Risk,0.8491211,82.5,4.0,-9.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
ponto dos volantes,MG,High Risk,0.88864887,36.29,5.0,-9.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.5361038,71.77,4.0,-6.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.86485726,37.58,5.0,-5.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,High Risk,0.9558173,206.44,2.333333333333333,-3.333333333333333,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
rio de janeiro,RJ,High Risk,0.82010806,62.7,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
governador valadares,MG,High Risk,0.7137909,62.66,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.7734449,124.16,5.0,-4.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
irati,PR,High Risk,0.9171816,77.57,4.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
goiania,GO,High Risk,0.7805546,60.0,5.0,-9.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.58021396,115.7,5.0,-20.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
cubatao,SP,High Risk,0.82268405,57.59,3.0,-2.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao manuel,SP,Medium Risk,0.55507255,160.19,5.0,-8.5,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
belo horizonte,MG,High Risk,0.882311,84.24,3.0,-7.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
marau,RS,Medium Risk,0.4926345,63.73,5.0,-40.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
hortolandia,SP,High Risk,0.87685245,119.25,5.0,-4.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.64935863,267.5,4.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
marialva,PR,High Risk,0.90208215,65.91,3.0,-1.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
nova venecia,ES,Medium Risk,0.60890204,126.72,5.0,-9.5,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
salvador,BA,High Risk,0.8340163,1129.85,5.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
nossa senhora das dores,SE,High Risk,0.8723354,598.23,4.0,-6.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.7847495,157.21,5.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
niteroi,RJ,High Risk,0.8075322,28.88,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,Medium Risk,0.6534347,204.15,5.0,-14.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
claudio,MG,High Risk,0.8098701,206.87,1.0,-9.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
camaqua,RS,High Risk,0.7658026,192.3,5.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
nova iguacu,RJ,High Risk,0.7589779,122.07,4.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
brasilia,DF,High Risk,0.73607945,570.3,4.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao bernardo do campo,SP,High Risk,0.84235245,53.7,4.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
americana,SP,Medium Risk,0.6063324,22.36,5.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
potiragua,BA,High Risk,0.8557577,79.0,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
alfenas,MG,High Risk,0.9124708,148.15,5.0,-22.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao luis,MA,High Risk,0.73576653,118.01,4.0,-22.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
cotia,SP,Medium Risk,0.57881755,114.43,4.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
porto velho,RO,High Risk,0.72078747,730.05,5.0,-27.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
varzea paulista,SP,High Risk,0.92421025,55.0,4.0,-3.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
balneario camboriu,SC,Low Risk,0.36252367,97.36,5.0,-10.5,Loyalty Rewards,Repeat purchasing behaviour,Low,Marketing Team,Monthly,30,Increase repeat purchases
goiania,GO,Medium Risk,0.65049624,155.22,5.0,-18.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao lourenco do sul,RS,High Risk,0.91521907,107.78,3.0,-6.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
piedade,SP,High Risk,0.8517226,152.48,4.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
porto alegre,RS,Medium Risk,0.64333445,80.65,5.0,-18.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
piata,BA,High Risk,0.86985296,69.56,4.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.9373135,26.09,4.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
santa adelia,SP,High Risk,0.90563315,41.83,3.0,-2.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
ilhabela,SP,High Risk,0.89632607,81.82,2.0,1.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
curitiba,PR,Medium Risk,0.6795381,199.21,4.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
itai,SP,High Risk,0.79117656,97.88,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao jose dos campos,SP,High Risk,0.8219236,186.85,5.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
conceicao da aparecida,MG,High Risk,0.9135175,185.07,3.0,-18.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
vila velha,ES,High Risk,0.8409703,280.08,5.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
natal,RN,High Risk,0.929971,187.5,5.0,-1.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
brasilia,DF,High Risk,0.869137,100.0,5.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Low Risk,0.2345081,119.41,5.0,-6.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
brasilia,DF,Medium Risk,0.6951149,86.3,4.0,-17.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
uberlandia,MG,High Risk,0.9320801,24.93,4.0,-7.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belem,PA,Medium Risk,0.63449544,82.67,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
ribeirao pires,SP,Medium Risk,0.6914338,23.17,5.0,-10.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sorocaba,SP,High Risk,0.7148822,313.43,4.0,-21.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
pomerode,SC,High Risk,0.881229,116.45,5.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
nova iguacu,RJ,High Risk,0.8333025,463.44,5.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
suzano,SP,Low Risk,0.025356064,66.41,5.0,-2.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
sao paulo,SP,High Risk,0.8808889,54.0,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
toledo,PR,High Risk,0.75433093,164.68,5.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
catanduva,SP,High Risk,0.828737,51.69,5.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
passo de torres,SC,High Risk,0.8195863,105.28,1.0,-12.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
contagem,MG,High Risk,0.7524057,105.38,5.0,-3.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao caetano do sul,SP,High Risk,0.8736307,82.52,5.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
lagoa dourada,MG,High Risk,0.88244593,76.99,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.8738489,292.63,5.0,-8.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.6457426,427.1,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.7716984,194.87,5.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
marica,RJ,Medium Risk,0.6154841,277.99,3.0,-17.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
fortaleza,CE,High Risk,0.75943786,75.79,5.0,-21.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
tremembe,SP,High Risk,0.76879567,247.15,5.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
belo horizonte,MG,High Risk,0.75137436,847.82,1.0,-22.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
ceu azul,PR,High Risk,0.84232724,56.08,5.0,-18.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao caetano do sul,SP,Medium Risk,0.6688037,45.22,5.0,-14.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
varginha,MG,High Risk,0.8707651,130.56,3.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
santo andre,SP,Medium Risk,0.5160494,243.25,5.0,-2.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.61257094,65.01,5.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
morungaba,SP,Medium Risk,0.4784587,118.57,5.0,-23.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,High Risk,0.8230423,33.0,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
mogi-guacu,SP,Medium Risk,0.5419652,569.44,4.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
campinas,SP,High Risk,0.8411083,93.8,5.0,-5.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
mogi das cruzes,SP,High Risk,0.811543,375.13,4.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
aquiraz,CE,High Risk,0.71961427,398.85,5.0,-19.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
franco da rocha,SP,High Risk,0.8350593,53.37,5.0,-9.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Low Risk,0.31243607,226.74,4.0,-6.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
fraiburgo,SC,High Risk,0.9386766,137.08,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
brasilia,DF,High Risk,0.863454,69.27,4.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
curitiba,PR,High Risk,0.90034026,82.64,5.0,-12.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio grande,RS,High Risk,0.8027202,77.57,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.917482,176.36,5.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
joao pessoa,PB,Medium Risk,0.5634616,152.62,5.0,-20.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
piracicaba,SP,Low Risk,0.30152357,42.4,5.0,1.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
rio de janeiro,RJ,High Risk,0.94704646,132.02,1.0,8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
ourinhos,SP,High Risk,0.8552153,166.23,5.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
juiz de fora,MG,High Risk,0.94436294,141.73,4.0,-6.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
lagoa santa,MG,High Risk,0.73486286,133.28,5.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
batatais,SP,Medium Risk,0.6324705,868.19,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,High Risk,0.9637081,77.06,5.0,-1.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.6256279,69.01,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
santa barbara d'oeste,SP,Medium Risk,0.6875357,39.1,5.0,-11.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao sebastiao do paraiso,MG,High Risk,0.85347396,268.71,4.0,-18.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao bernardo do campo,SP,High Risk,0.8056305,161.96,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao jose do rio preto,SP,High Risk,0.9327439,29.84,5.0,5.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
montes claros,MG,High Risk,0.7089621,61.44,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
feira de santana,BA,Medium Risk,0.5169391,158.08,4.0,-11.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
vila velha,ES,High Risk,0.7768899,276.56,5.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.66488236,102.53,5.0,-10.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao bernardo do campo,SP,Medium Risk,0.67579055,67.23,5.0,-17.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
lagoa santa,MG,High Risk,0.82218385,28.1,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
